url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/Quy%20%C4%91%E1%BB%8Bnh%20HB%20KKHT%20n%C4%83m%202022.pdf,hust-scholarship-regulation-2022,Quy định học bổng khuyến khích học tập HUST năm 2022,student,student-affairs,scholarship,vi,2022,public-source
https://tmu.edu.vn/upload/pagefile/197-406qd-dhtm-ngay-2032024-quy-dinh-xet-cap-hoc-bong-cho-sinh-vien-dai-hoc-chinh-quy-0001pdf-1730797070.pdf,tmu-scholarship-regulation-2024,Quy định xét cấp học bổng cho sinh viên đại học chính quy TMU,student,student-affairs,scholarship,vi,2024,public-source
https://usth.edu.vn/quy-dinh-hoc-bong-cho-sinh-vien-usth-nam-hoc-2026-2027-30184/,usth-scholarship-regulation-2026-2027,Quy định học bổng cho sinh viên USTH năm học 2026-2027,student,student-affairs,scholarship,vi,2026-2027,public-source
https://sotaysv.phenikaa-uni.edu.vn/home/ii.-cuoc-song-sinh-vien/2.-hoc-bong-va-che-do-chinh-sach/2.2.-hoc-bong-khuyen-khich-hoc-tap,phenikaa-scholarship-regulation,Học bổng khuyến khích học tập Phenikaa University,student,student-affairs,scholarship,vi,not-stated,public-source
https://uet.edu.vn/cap-hoc-bong-khuyen-khich-hoc-tap-trong-hoc-ky-i-nam-hoc-2025-2026-cho-sinh-vien,uet-scholarship-announcement-2025-2026,Cấp học bổng khuyến khích học tập học kỳ I năm học 2025-2026 UET,student,student-affairs,scholarship,vi,2025-2026,public-source
https://ou.edu.vn/hocbong/hbkhhtdhcq/,ou-scholarship-regulation,Học bổng Khuyến khích học tập OU,student,student-affairs,scholarship,vi,not-stated,public-source
https://hocphi.huit.edu.vn/hoc-bong-khuyen-khich-hoc-tap,huit-scholarship-regulation,Học bổng khuyến khích học tập HUIT,student,student-affairs,scholarship,vi,not-stated,public-source
https://ysip.vnu.edu.vn/hoc-bong-dai-hoc/quy-dinh-ve-tieu-chi-xet-cap-hoc-bong-cho-9-nganh-khoa-hoc-co-ban-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn.html,ussh-basic-sciences-scholarship,Quy định tiêu chí xét cấp học bổng cho 9 ngành khoa học cơ bản USSH,student,student-affairs,scholarship,vi,not-stated,public-source
https://dsa.ueh.edu.vn/tin-tuc/hb-kkht-hkc2025/,ueh-scholarship-hkc2025,Về việc xét học bổng Khuyến khích học tập - HKC2025 UEH,student,student-affairs,scholarship,vi,2025,public-source
https://daotao.donga.edu.vn/tin-chi-tiet/tieu-chi-xet-khen-thuong-va-hoc-bong-sv-khoa-2026,donga-scholarship-criteria-2026,Tiêu chí xét khen thưởng và học bổng sinh viên khóa 2026 Đông Á,student,student-affairs,scholarship,vi,2026,public-source
